"","pID","age","mass","height","hand","velo_max","velo_min","throw","velo","elb_var","shldr_ir","elb_var_max","shldr_ir_max","elb_var_min","shldr_ir_min"
"210","p06",24,210.2,74,"R",72.4,38.8,20,58.2,32.634657,46.793211,53.636634,74.421421,15.664029,21.794453
"211","p06",24,210.2,74,"R",72.4,38.8,21,59.1,33.444978,49.658074,53.636634,74.421421,15.664029,21.794453
"212","p06",24,210.2,74,"R",72.4,38.8,22,58.6,32.955668,46.833438,53.636634,74.421421,15.664029,21.794453
"213","p06",24,210.2,74,"R",72.4,38.8,23,61.9,38.052351,54.644617,53.636634,74.421421,15.664029,21.794453
"214","p06",24,210.2,74,"R",72.4,38.8,24,63.8,39.339184,55.157446,53.636634,74.421421,15.664029,21.794453
"215","p06",24,210.2,74,"R",72.4,38.8,25,62.8,38.360515,57.932435,53.636634,74.421421,15.664029,21.794453
"216","p06",24,210.2,74,"R",72.4,38.8,26,63.6,40.091272,58.544372,53.636634,74.421421,15.664029,21.794453
"217","p06",24,210.2,74,"R",72.4,38.8,27,64.8,41.023142,58.870187,53.636634,74.421421,15.664029,21.794453
"218","p06",24,210.2,74,"R",72.4,38.8,28,67.8,47.049519,66.248776,53.636634,74.421421,15.664029,21.794453
"219","p06",24,210.2,74,"R",72.4,38.8,29,68.9,48.3092,68.342232,53.636634,74.421421,15.664029,21.794453
"220","p06",24,210.2,74,"R",72.4,38.8,30,69,48.742867,68.321715,53.636634,74.421421,15.664029,21.794453
"221","p06",24,210.2,74,"R",72.4,38.8,31,70.1,48.614805,68.431835,53.636634,74.421421,15.664029,21.794453
"222","p06",24,210.2,74,"R",72.4,38.8,32,68.4,48.555173,67.104682,53.636634,74.421421,15.664029,21.794453
